Substance,H,G,E
Al(s),0,0,28.3
Al+++(aq),-524.7,-481.2,-313.38
Al2O3(s),-1669.8,-1576.4,50.99
Br2(l),0,0,152.3
Br-(aq),-120.9,-102.8,80.7
HBr(g),-36.2,-53.2,198.48
C(graphite),0,0,5.69
C(diamond),1.90,2.87,2.4
CO(g),-110.5,-137.3,197.9
CO2(g),-393.5,-394.4,213.6
CO2(aq),-412.9,-386.2,121.3
CO3--(aq),-676.3,-528.1,-53.1
HCO3-(aq),-691.1,-587.1,94.98
H2CO3(aq),-699.7,-623.2,187.4
CS2(g),115.3,65.1,237.8
CS2(l),87.3,63.6,151.0
HCN(aq),105.4,112.1,128.9
CN-(aq),151.0,165.69,117.99
(NH2)2CO(s),-333.19,-197.15,104.6
(NH2)2CO(aq),-319.2,-203.84,173.85
Ca(s),0,0,41.6
Ca++(aq),-542.96,-553.0,-55.2
CaO(s),-635.6,-604.2,39.8
Ca(OH)2(s),-986.6,-896.8,76.2
CaF2(s),-1214.6,-1161.9,68.87
CaCl2(s),-794.96,-750.19,113.8
CaSO4(s),-1432.69,-1320.3,106.69
CaCO3(s),-1206.9,-1128.8,92.9
Cl2(g),0,0,223.0
Cl-(aq),-167.2,-131.2,56.5
HCl(g),-92.3,-95.27,187.0
Cu(s),0,0,33.3
Cu+(aq),51.88,50.2,-40.6
Cu++(aq),64.39,64.98,-99.6
CuO(s),-155.2,-127.2,43.5
Cu2O(s),-166.69,-146.36,100.8
CuS(s),-48.5,-49.0,66.5
CuSO4(s),-769.86,-661.9,113.39
F2(g),0,0,203.34
F-(aq),-329.1,-276.48,-9.6
HF(g),-271.6,-270.7,173.5
Fe(s),0,0,27.2
Fe++(aq),-87.86,-84.9,-113.39
Fe+++(aq),-47.7,-10.5,-293.3
Fe2O3(s),-822.2,-741.0,90.0
Fe(OH)2(s),-568.19,-483.55,79.5
Fe(OH)3(s),-824.25,?,?
H(g),218.2,203.2,114.6
H2(g),0,0,131.0
H+(aq),0,0,0
OH-(aq),-229.94,-157.30,-10.5
H2O(g),-241.8,-228.6,188.7
H2O(l),-285.8,-237.2,69.9
H2O2(l),-187.6,-118.1,?
I2(s),0,0,116.7
I-(aq),-55.9,-51.67,109.37
HI(g),25.9,1.30,206.3
K(s),0,0,63.6
K+(aq),-251.2,-282.28,102.5
KOH(s),-425.85,?,?
KCl(s),-435.87,-408.3,82.68
KClO3(s),-391.20,-289.9,142.97
KClO4(s),-433.46,-304.18,151.0
KBr(s),-392.17,-379.2,96.4
KI(s),-327.65,-322.29,104.35
KNO3(s),-492.7,-393.1,132.9
Li(s),0,0,28.0
Li+(aq),-278.46,-293.8,14.2
Li2O(s),-595.8,?,?
LiOH(s),-487.2,-443.9,50.2
Mg(s),0,0,32.5
Mg++(aq),-461.96,-456.0,-117.99
MgO(s),-601.8,-569.6,26.78
Mg(OH)2(s),-924.66,-833.75,63.1
MgCl2(s),-641.8,-592.3,89.5
MgSO4(s),-1278.2,-1173.6,91.6
MgCO3(s),-1112.9,-1029.3,65.69
N2(g),0,0,191.5
N3-(aq),245.18,?,?
NH3(g),-46.3,-16.6,193.0
NH4+(aq),-132.80,-79.5,112.8
NH4Cl(s),-315.39,-203.89,94.56
NH3(aq),-80.3,-263.76,111.3
N2H4(l),50.4,?,?
NO(g),90.4,86.7,210.6
NO2(g),33.85,51.8,240.46
N2O4(g),9.66,98.29,304.3
N2O(g),81.56,103.6,219.99
HNO3(aq),-207.4,-111.3,146.4
Na(s),0,0,51.05
Na+(aq),-239.66,-261.87,60.25
Na2O(s),-415.89,-376.56,72.8
NaCl(s),-411.0,-384.0,72.38
NaI(s),-288.0,?,?
Na2SO4(s),-1384.49,-1266.8,149.49
NaNO3(s),-466.68,-365.89,116.3
Na2CO3(s),-1130.9,-1047.67,135.98
NaHCO3(s),-947.68,-851.86,102.09
O(g),249.4,230.1,160.95
O2(g),0,0,205.0
O2-(aq),-12.09,16.3,110.88
O3(g),142.2,163.4,237.6
P(white),0,0,44.0
P(red),-18.4,13.8,29.3
PO4---(aq),-1284.07,-1025.59,-217.57
P4O10(s),-3012.48,?,?
PH3(g),9.25,18.2,210.0
HPO4--(aq),-1298.7,-1094.1,-35.98
H2PO4-(aq),-1302.48,-1135.1,89.1
S(rhombic),0,0,31.88
S(monoclinic),0.30,0.10,32.55
SO2(g),-296.1,-300.4,248.5
SO3(g),-395.2,-370.4,256.2
SO3--(aq),-624.25,-497.06,43.5
SO4--(aq),-907.5,-741.99,17.15
H2S(g),-20.15,-33.0,205.64
HSO3-(aq),-627.98,-527.3,132.38
HSO4-(aq),-885.75,-752.87,126.86
H2SO4(l),-811.3,-690.0,156.9
H2SO4(aq),-909.3,-744.5,20.1
SF6(g),-1096.2,-1105.3,291.8
Zn(s),0,0,41.6
Zn++(aq),-152.4,-147.2,-112.1
ZnO(s),-348.0,-318.2,43.9
ZnCl2(s),-415.89,-369.26,108.37
ZnS(s),-202.9,-198.3,57.7
ZnSO4(s),-978.6,-871.6,124.7
CH3COOH(l),-484.2,-389.45,159.8
CH3CHO(g),-166.35,-139.08,264.2
CH3COCH3(l),-246.8,-153.55,198.7
C2H2(g),226.6,209.2,200.8
C6H6(l),49.04,124.5,172.8
C4H10(g),-124.7,-15.7,310.0
C2H5OH(l),-276.98,-174.18,161.0
C2H6(g),-84.7,-32.89,229.5
C2H4(g),52.3,68.1,219.5
HCOOH(l),-409.2,-346.0,129.0
C6H12O6(s),-1274.5,-910.56,212.1
CH4(g),-74.85,-50.8,186.2
CH3OH(l),-238.7,-166.3,126.8
C3H8(g),-103.9,-23.5,269.9
C12H22O11(s),-2221.7,-1544.3,360.2
